bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
13;85;189;184;41;52;75;45;210;13;22;16;68;105;27;8;36;24;1;103;7;38;14;24;8;3;20;11;2;4;14;14;13;5;2;3;7;5;8;10;24;7;4;7;1;1;2;5;1;0;2;2;2;2;3;3;3;2;1;2;2;4;1;1;0;13;3;4;4;1;2;2,2,0,2,damp_low_band,0.0,False,False
13;85;193;147;40;51;78;50;209;13;18;25;69;95;17;13;32;33;1;93;7;46;9;16;8;3;25;15;2;5;16;9;16;10;2;3;6;3;8;6;24;4;2;5;1;4;0;3;1;0;2;3;2;2;2;4;3;3;1;2;2;4;2;2;1;12;3;4;3;0;2;0,2,0,2,damp_low_band,0.0,False,False
13;85;65;75;30;58;64;68;209;13;40;16;34;77;40;22;23;11;39;77;22;33;30;21;8;3;22;14;5;6;16;12;16;7;5;3;4;7;8;8;24;5;9;6;0;3;1;4;1;0;3;4;1;3;3;4;1;3;1;2;2;4;3;1;2;13;3;4;3;0;0;0,2,0,2,damp_low_band,0.0,False,False
13;86;185;119;36;52;77;55;210;12;22;32;67;87;14;20;24;36;4;85;11;52;11;9;8;3;30;14;2;6;13;5;14;13;2;2;5;3;5;5;27;3;3;3;3;5;1;1;1;0;3;4;2;2;3;4;1;3;1;2;2;4;3;1;2;13;3;3;3;1;0;0,2,0,2,damp_low_band,0.0,False,False
13;86;26;111;33;62;57;64;210;12;26;13;24;87;33;10;35;19;48;88;10;34;18;25;8;3;30;13;5;5;12;5;12;14;5;4;6;6;4;5;27;3;5;8;4;5;2;1;1;0;3;2;1;3;3;3;2;1;1;2;2;4;1;1;1;14;3;4;3;1;1;3,2,0,2,damp_low_band,0.0,False,False
13;86;28;108;33;62;57;64;210;12;27;13;24;86;34;10;35;18;48;87;10;34;19;26;8;3;30;13;5;5;13;5;13;14;6;4;6;6;5;5;27;3;6;8;4;5;1;1;1;0;3;2;1;3;3;3;2;1;1;2;2;4;1;1;1;14;3;4;3;1;1;3,2,0,2,damp_low_band,0.0,False,False
13;87;14;157;42;61;56;57;211;11;22;24;20;100;19;10;34;32;49;102;6;44;11;17;7;3;28;4;5;4;7;9;7;10;6;4;6;4;2;9;28;7;3;6;5;1;5;2;1;0;2;3;2;3;2;3;3;3;1;2;2;4;2;2;1;13;3;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
13;87;193;161;33;54;73;51;211;11;22;23;71;98;20;9;35;31;1;96;6;43;12;18;7;3;22;16;2;5;16;11;15;8;1;4;6;4;9;8;24;4;3;6;0;3;1;4;1;0;2;3;2;2;2;3;3;3;1;2;2;4;1;2;1;13;3;4;3;0;3;1,2,0,2,damp_low_band,0.0,False,False
13;87;193;167;33;54;72;51;211;11;23;22;70;100;22;8;36;29;1;98;6;42;12;19;7;3;21;15;2;5;15;12;15;7;1;4;7;4;9;8;24;5;3;7;0;3;1;4;1;0;2;2;2;2;2;3;3;3;1;2;2;4;1;2;1;13;3;4;3;0;3;1,2,0,2,damp_low_band,0.0,False,False
13;87;46;225;43;56;57;49;211;11;32;33;30;119;17;31;14;32;38;119;20;52;20;6;7;3;20;14;4;3;15;13;14;7;5;6;3;3;9;9;24;5;5;1;0;2;1;4;1;0;4;2;2;3;4;4;2;1;1;2;2;4;2;0;1;14;3;3;3;0;0;2,2,0,2,damp_low_band,0.0,False,False
13;87;69;239;42;54;59;47;211;11;37;30;37;122;24;35;10;25;32;122;25;48;25;7;7;3;25;17;4;3;16;9;15;10;4;6;3;4;8;6;25;3;7;1;1;4;0;3;1;0;3;2;2;3;3;3;3;2;1;2;2;4;1;1;0;13;3;3;3;0;2;2,2,0,2,damp_low_band,0.0,False,False
